pcm,套件,引擎
SceneId-8/挂断/挂断高架中档/F004_挂断_012.wav,53,None
SceneId-8/接听/接听高架中档/M004_接听_002.wav,None,110
SceneId-8/挂断/挂断市区半开窗/F004_挂断_002.wav,145,152
SceneId-8/挂断/挂断郊区开窗/M004_挂断_004.wav,71,61
SceneId-8/挂断/挂断高架中档/F002_挂断_010.wav,161,160
SceneId-8/挂断/挂断市区半开窗/M005_挂断_010.wav,169,179
SceneId-8/挂断/挂断市区半开窗/F003_挂断_014.wav,96,78
SceneId-8/挂断/挂断市区半开窗/M005_挂断_015.wav,None,引擎未测试
SceneId-8/挂断/挂断高架中档/F003_挂断_009.wav,145,162
SceneId-8/挂断/挂断郊区开窗/M001_挂断_015.wav,155,引擎未测试
SceneId-8/挂断/挂断高架中档/F005_挂断_005.wav,103,75
SceneId-8/挂断/挂断高架中档/F005_挂断_001.wav,77,91
SceneId-8/挂断/挂断郊区开窗/F005_挂断_007.wav,77,74
SceneId-8/挂断/挂断市区半开窗/F005_挂断_012.wav,None,58
SceneId-8/挂断/挂断高架中档/M003_挂断_003.wav,146,139
SceneId-8/接听/接听郊区开窗/M002_接听_009.wav,130,108
SceneId-8/挂断/挂断高架中档/F004_挂断_005.wav,127,124
SceneId-8/挂断/挂断市区半开窗/M004_挂断_005.wav,93,107
SceneId-8/接听/接听高架中档/M002_接听_015.wav,108,None
SceneId-8/挂断/挂断高架中档/F005_挂断_013.wav,95,99
SceneId-8/接听/接听高架中档/F004_接听_009.wav,129,133
SceneId-8/挂断/挂断高架中档/F002_挂断_012.wav,116,110
SceneId-8/接听/接听郊区开窗/F004_接听_014.wav,153,163
SceneId-8/挂断/挂断市区半开窗/F002_挂断_013.wav,88,74
SceneId-8/挂断/挂断市区半开窗/M003_挂断_011.wav,96,97
SceneId-8/X3/M014_152.wav,171,172
SceneId-8/挂断/挂断市区半开窗/M001_挂断_005.wav,71,引擎未测试
SceneId-8/挂断/挂断市区半开窗/F001_挂断_007.wav,104,118
SceneId-8/挂断/挂断市区半开窗/M005_挂断_012.wav,78,66
SceneId-8/接听/接听郊区开窗/F001_接听_008.wav,165,176
SceneId-8/挂断/挂断市区半开窗/F002_挂断_007.wav,129,引擎未测试
SceneId-8/接听/接听市区半开窗/M003_接听_009.wav,146,153
SceneId-8/挂断/挂断高架中档/F005_挂断_010.wav,153,168
SceneId-8/挂断/挂断郊区开窗/M001_挂断_005.wav,94,55
SceneId-8/挂断/挂断市区半开窗/M002_挂断_001.wav,70,74
SceneId-8/挂断/挂断郊区开窗/M001_挂断_003.wav,76,77
SceneId-8/挂断/挂断郊区开窗/F005_挂断_009.wav,109,111
SceneId-8/挂断/挂断高架中档/F001_挂断_005.wav,128,125
SceneId-8/挂断/挂断郊区开窗/F004_挂断_014.wav,82,97
SceneId-8/挂断/挂断高架中档/F001_挂断_008.wav,152,145
SceneId-8/挂断/挂断郊区开窗/M005_挂断_010.wav,56,52
SceneId-8/接听/接听高架中档/M003_接听_011.wav,123,引擎未测试
SceneId-8/接听/接听高架中档/F001_接听_010.wav,177,152
SceneId-8/接听/接听高架中档/F004_接听_015.wav,139,None
SceneId-8/接听/接听高架中档/M003_接听_002.wav,125,引擎未测试
SceneId-8/挂断/挂断郊区开窗/F001_挂断_012.wav,60,None
SceneId-8/挂断/挂断郊区开窗/M004_挂断_002.wav,64,引擎未测试
SceneId-8/挂断/挂断高架中档/M005_挂断_012.wav,86,127
SceneId-8/挂断/挂断高架中档/M005_挂断_014.wav,110,136
SceneId-8/接听/接听高架中档/M002_接听_001.wav,158,149
SceneId-8/挂断/挂断高架中档/M003_挂断_015.wav,118,139
SceneId-8/挂断/挂断市区半开窗/F005_挂断_010.wav,151,引擎未测试
SceneId-8/挂断/挂断郊区开窗/F002_挂断_013.wav,None,78
SceneId-8/挂断/挂断高架中档/F005_挂断_003.wav,90,72
SceneId-8/挂断/挂断郊区开窗/F002_挂断_009.wav,97,112
SceneId-8/挂断/挂断郊区开窗/F001_挂断_005.wav,55,125
SceneId-8/接听/接听郊区开窗/M001_接听_012.wav,184,205
SceneId-8/挂断/挂断市区半开窗/M002_挂断_006.wav,78,93
SceneId-8/X3/M014_150.wav,166,167
SceneId-8/挂断/挂断郊区开窗/F003_挂断_008.wav,132,134
SceneId-8/挂断/挂断郊区开窗/M001_挂断_002.wav,None,80
