loadRes_time,srh_time,srh ret,text
2505,71,0,"(field=Album,query=1.22.03 Acoustic,fuzzy=1,searchType=SR)"
2525,203,0,"(field=Album,query=A Little Love,fuzzy=1,searchType=SR)"
2497,161,0,"(field=Album,query=Smile,fuzzy=1,searchType=SR)"
2505,205,0,"(field=Album,query=Number Ones,fuzzy=1,searchType=SR)"
3352,201,0,"(field=Album,query=Recovery,fuzzy=1,searchType=SR)"
2503,61,0,"(field=Album,query=Taylor Swift,fuzzy=1,searchType=SR)"
2495,56,0,"(field=Album,query=Stronger (What Doesn'T Kill You),fuzzy=1,searchType=SR)"
2516,47,0,"(field=Album,query=Songs About Jane,fuzzy=1,searchType=SR)"
2501,188,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
2505,95,0,"(field=Album,query=Global Warming,fuzzy=1,searchType=SR)"
2499,170,0,"(field=Album,query=At Last...The Duets Album/ Breathless,fuzzy=1,searchType=SR)"
2485,188,0,"(field=Album,query=Once In A Red Moon,fuzzy=1,searchType=SR)"
2512,49,0,"(field=Album,query=Kikujiro,fuzzy=1,searchType=SR)"
2500,194,0,"(field=Album,query=This Is How We Do,fuzzy=1,searchType=SR)"
2502,51,0,"(field=Album,query=Music From The 3D Concert Experience,fuzzy=1,searchType=SR)"
2488,56,0,"(field=Album,query=Bbc Radio 1'S Live Lounge Volume 6,fuzzy=1,searchType=SR)"
2513,181,0,"(field=Album,query=Timber,fuzzy=1,searchType=SR)"
2537,173,0,"(field=Album,query=Turnaround,fuzzy=1,searchType=SR)"
2515,59,0,"(field=Album,query=Kiss Deluxe Version,fuzzy=1,searchType=SR)"
2489,94,0,"(field=Album,query=Wrapped In Red,fuzzy=1,searchType=SR)"
2502,68,0,"(field=Album,query=Walk Away,fuzzy=1,searchType=SR)"
2503,161,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
2496,194,0,"(field=Album,query=Wastelands,fuzzy=1,searchType=SR)"
2540,55,0,"(field=Album,query=2013 Grammy Nominees,fuzzy=1,searchType=SR)"
2503,157,0,"(field=Album,query=Westlife,fuzzy=1,searchType=SR)"
2526,63,0,"(field=Album,query=Stronger (Deluxe Version),fuzzy=1,searchType=SR)"
2587,126,0,"(field=Album,query=What I'Ve Done,fuzzy=1,searchType=SR)"
2576,119,0,"(field=Album,query=When I'M Gone,fuzzy=1,searchType=SR)"
2607,72,0,"(field=Album,query=When You're Gone,fuzzy=1,searchType=SR)"
2604,112,0,"(field=Album,query=King Of Pop,fuzzy=1,searchType=SR)"
2590,74,0,"(field=Album,query=Katy Perry - Teenage Dream: The Complete Confection,fuzzy=1,searchType=SR)"
2585,195,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
2633,112,0,"(field=Album,query=King Of Pop,fuzzy=1,searchType=SR)"
2586,180,0,"(field=Album,query=Face To Face,fuzzy=1,searchType=SR)"
2584,123,0,"(field=Album,query=I'M In The Mood For Love ... The Most Romantic Melodies Of All Time,fuzzy=1,searchType=SR)"
2599,24,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2579,63,0,"(field=Album,query=千金归来 电视原声带,fuzzy=1,searchType=SR)"
2578,48,0,"(field=Album,query=信仰,fuzzy=1,searchType=SR)"
2571,36,0,"(field=Album,query=爱出发,fuzzy=1,searchType=SR)"
2591,42,0,"(field=Album,query=爱从草原来,fuzzy=1,searchType=SR)"
2580,51,0,"(field=Album,query=秘密基地,fuzzy=1,searchType=SR)"
2568,62,0,"(field=Album,query=Say The Words 我为你歌唱,fuzzy=1,searchType=SR)"
2578,70,0,"(field=Album,query=曾经的歌系列 41,fuzzy=1,searchType=SR)"
2579,81,0,"(field=Album,query=情义 新歌+精选 光耀全纪录,fuzzy=1,searchType=SR)"
2617,25,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2583,68,0,"(field=Album,query=娃娃金典 - 金智娟经典重生辑,fuzzy=1,searchType=SR)"
2585,47,0,"(field=Album,query=美丽境界,fuzzy=1,searchType=SR)"
2613,63,0,"(field=Album,query=我们的生活充满阳光,fuzzy=1,searchType=SR)"
2580,63,0,"(field=Album,query=首选萧亚轩.美丽的插曲,fuzzy=1,searchType=SR)"
2572,68,0,"(field=Album,query=爱过,fuzzy=1,searchType=SR)"
2594,68,0,"(field=Album,query=长相依精选辑,fuzzy=1,searchType=SR)"
2571,51,0,"(field=Album,query=我好想,fuzzy=1,searchType=SR)"
2593,75,0,"(field=Album,query=不解释亲吻,fuzzy=1,searchType=SR)"
2580,58,0,"(field=Album,query=美丽的日子 新歌+精选,fuzzy=1,searchType=SR)"
2554,68,0,"(field=Album,query=爱的大游行Live全记录,fuzzy=1,searchType=SR)"
2575,60,0,"(field=Album,query=爱你的我今天长这样,fuzzy=1,searchType=SR)"
2567,45,0,"(field=Album,query=爱你的宿命,fuzzy=1,searchType=SR)"
2590,47,0,"(field=Album,query=爱你却要说分手,fuzzy=1,searchType=SR)"
2583,109,0,"(field=Album,query=爱你伍佰年 伍佰 And China Blue 世纪典藏原音精选40首,fuzzy=1,searchType=SR)"
2584,40,0,"(field=Album,query=美人吟,fuzzy=1,searchType=SR)"
2572,48,0,"(field=Album,query=入戏太深,fuzzy=1,searchType=SR)"
2602,35,0,"(field=Album,query=包容,fuzzy=1,searchType=SR)"
2580,42,0,"(field=Album,query=城堡,fuzzy=1,searchType=SR)"
2564,38,0,"(field=Album,query=L to V秘密,fuzzy=1,searchType=SR)"
2588,25,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2572,84,0,"(field=Album,query=70.8,fuzzy=1,searchType=SR)"
2614,25,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2574,24,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2571,25,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2564,50,0,"(field=Album,query=咆哮2002,fuzzy=1,searchType=SR)"
2581,25,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2626,44,0,"(field=Album,query=爱无反顾,fuzzy=1,searchType=SR)"
2577,45,0,"(field=Album,query=胡 爱夏,fuzzy=1,searchType=SR)"
2633,38,0,"(field=Album,query=爱相随,fuzzy=1,searchType=SR)"
2571,68,0,"(field=Album,query=活出生命Ii演唱会,fuzzy=1,searchType=SR)"
2643,113,0,"(field=Album,query=许茹芸1995-2000年光华真纪录-单身日记15首新,fuzzy=1,searchType=SR)"
2571,51,0,"(field=Album,query=Best Show 劲舞天王版,fuzzy=1,searchType=SR)"
2584,58,0,"(field=Album,query=王菲 89-97 32精选,fuzzy=1,searchType=SR)"
2585,57,0,"(field=Album,query=他&他 [好男真情歌],fuzzy=1,searchType=SR)"
2584,24,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2574,83,0,"(field=Album,query=抢先热恋杨丞琳为爱启丞抢先听版,fuzzy=1,searchType=SR)"
2578,25,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2579,77,0,"(field=Album,query=中国好声音第二季 那英组四进一,fuzzy=1,searchType=SR)"
2633,68,0,"(field=Album,query=爸爸去哪儿 电视原声带,fuzzy=1,searchType=SR)"
2580,48,0,"(field=Album,query=白天不懂夜的黑,fuzzy=1,searchType=SR)"
2572,61,0,"(field=Album,query=那英全经典,fuzzy=1,searchType=SR)"
2581,186,0,"(field=Album,query=Super Star,fuzzy=1,searchType=SR)"
2586,59,0,"(field=Album,query=一呼天下音演唱会,fuzzy=1,searchType=SR)"
2576,52,0,"(field=Album,query=寂寞在唱歌,fuzzy=1,searchType=SR)"
2578,184,0,"(field=Album,query=Chyi Chin,fuzzy=1,searchType=SR)"
2581,76,0,"(field=Album,query=Btb Teresa Teng Best 20,fuzzy=1,searchType=SR)"
2592,62,0,"(field=Album,query=台语点歌集7,fuzzy=1,searchType=SR)"
2688,44,0,"(field=Album,query=勇敢的心,fuzzy=1,searchType=SR)"
2712,65,0,"(field=Album,query=北京的冬天,fuzzy=1,searchType=SR)"
2745,27,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2715,84,0,"(field=Album,query=100天,fuzzy=1,searchType=SR)"
2716,53,0,"(field=Album,query=背叛情歌,fuzzy=1,searchType=SR)"
2746,109,0,"(field=Album,query=2014年中央电视台春节联欢晚会,fuzzy=1,searchType=SR)"
2709,68,0,"(field=Album,query=大年三十,fuzzy=1,searchType=SR)"
2714,62,0,"(field=Album,query=大年三十,fuzzy=1,searchType=SR)"
2708,84,0,"(field=Album,query=夏夜晚风 演唱会精选实录,fuzzy=1,searchType=SR)"
2706,51,0,"(field=Album,query=空气,fuzzy=1,searchType=SR)"
2700,43,0,"(field=Album,query=天下无贼,fuzzy=1,searchType=SR)"
2722,43,0,"(field=Album,query=笨小孩,fuzzy=1,searchType=SR)"
2708,101,0,"(field=Album,query=最新汽车升级版1 - 车载低音炮,fuzzy=1,searchType=SR)"
2705,236,0,"(field=Album,query=A Little Love,fuzzy=1,searchType=SR)"
2713,51,0,"(field=Album,query=别让我一个人醉,fuzzy=1,searchType=SR)"
2803,30,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2711,62,0,"(field=Album,query=情调私语2,fuzzy=1,searchType=SR)"
2755,39,0,"(field=Album,query=冰封,fuzzy=1,searchType=SR)"
2707,70,0,"(field=Album,query=我们的生活充满阳光,fuzzy=1,searchType=SR)"
2705,76,0,"(field=Album,query=大地飞歌,fuzzy=1,searchType=SR)"
2718,52,0,"(field=Album,query=柔情主义,fuzzy=1,searchType=SR)"
2691,68,0,"(field=Album,query=十八般武艺,fuzzy=1,searchType=SR)"
2706,59,0,"(field=Album,query=最动听的...陈百强,fuzzy=1,searchType=SR)"
2736,107,0,"(field=Album,query=Xposed,fuzzy=1,searchType=SR)"
2725,28,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2694,43,0,"(field=Album,query=征服,fuzzy=1,searchType=SR)"
2704,89,0,"(field=Album,query=8：19AM,fuzzy=1,searchType=SR)"
2728,87,0,"(field=Album,query=不解释亲吻,fuzzy=1,searchType=SR)"
2705,465,0,"(field=Album,query=黏黏2,fuzzy=1,searchType=SR)"
2780,68,0,"(field=Album,query=不能说出口的诺言,fuzzy=1,searchType=SR)"
2724,54,0,"(field=Album,query=翊往情深,fuzzy=1,searchType=SR)"
2753,68,0,"(field=Album,query=因为爱你,fuzzy=1,searchType=SR)"
2717,50,0,"(field=Album,query=不忘初心,fuzzy=1,searchType=SR)"
2728,74,0,"(field=Album,query=张信哲Jeff情歌精选,fuzzy=1,searchType=SR)"
2699,88,0,"(field=Album,query=[即刻出发]?北京演唱会 Live CD,fuzzy=1,searchType=SR)"
2718,28,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2700,28,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
3458,57,0,"(field=Album,query=擦肩而过,fuzzy=1,searchType=SR)"
2621,68,0,"(field=Album,query=因为爱你,fuzzy=1,searchType=SR)"
2630,50,0,"(field=Album,query=不再见,fuzzy=1,searchType=SR)"
2618,62,0,"(field=Album,query=独家记忆,fuzzy=1,searchType=SR)"
2625,75,0,"(field=Album,query=微笑Pasta电视原声带,fuzzy=1,searchType=SR)"
2619,98,0,"(field=Album,query=同名专辑,fuzzy=1,searchType=SR)"
2808,108,0,"(field=Album,query=中国好声音第二季 第2期,fuzzy=1,searchType=SR)"
2755,28,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2713,47,0,"(field=Album,query=草原的风,fuzzy=1,searchType=SR)"
2720,61,0,"(field=Album,query=中国之声,fuzzy=1,searchType=SR)"
2711,47,0,"(field=Album,query=风华再现,fuzzy=1,searchType=SR)"
2703,66,0,"(field=Album,query=最好的时代,fuzzy=1,searchType=SR)"
2710,67,0,"(field=Album,query=2013蛇年春晚,fuzzy=1,searchType=SR)"
2714,28,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2701,56,0,"(field=Album,query=精调细选,fuzzy=1,searchType=SR)"
2712,28,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2701,65,0,"(field=Album,query=张国荣钢琴精选集,fuzzy=1,searchType=SR)"
2706,49,0,"(field=Album,query=趁你还年轻,fuzzy=1,searchType=SR)"
2721,97,0,"(field=Album,query=年华,fuzzy=1,searchType=SR)"
2737,62,0,"(field=Album,query=远方的寂静,fuzzy=1,searchType=SR)"
2713,94,0,"(field=Album,query=志航群星传唱系列-情歌对唱,fuzzy=1,searchType=SR)"
2701,210,0,"(field=Album,query=Transfer,fuzzy=1,searchType=SR)"
2735,40,0,"(field=Album,query=出塞曲,fuzzy=1,searchType=SR)"
2723,51,0,"(field=Album,query=初.爱,fuzzy=1,searchType=SR)"
2730,46,0,"(field=Album,query=菲旧梦,fuzzy=1,searchType=SR)"
2700,62,0,"(field=Album,query=远方的寂静,fuzzy=1,searchType=SR)"
2698,63,0,"(field=Album,query=一个小微笑,fuzzy=1,searchType=SR)"
2722,27,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2737,225,0,"(field=Album,query=Never - Ending Song,fuzzy=1,searchType=SR)"
2737,69,0,"(field=Album,query=2009慢摇中文冠军舞曲,fuzzy=1,searchType=SR)"
2703,230,0,"(field=Album,query=Super Sunshine,fuzzy=1,searchType=SR)"
2766,104,0,"(field=Album,query=霹雳英雄音乐精选四十一-刀剑春秋II,fuzzy=1,searchType=SR)"
2709,94,0,"(field=Album,query=中国好声音第1期,fuzzy=1,searchType=SR)"
2737,115,0,"(field=Album,query=呼吸,fuzzy=1,searchType=SR)"
2706,64,0,"(field=Album,query=爱的进行式,fuzzy=1,searchType=SR)"
2712,52,0,"(field=Album,query=刘欢,fuzzy=1,searchType=SR)"
2711,62,0,"(field=Album,query=远方的寂静,fuzzy=1,searchType=SR)"
2717,70,0,"(field=Album,query=神的孩子都在跳舞(限量版),fuzzy=1,searchType=SR)"
2696,62,0,"(field=Album,query=听得到的时间,fuzzy=1,searchType=SR)"
2720,79,0,"(field=Album,query=冰冰,fuzzy=1,searchType=SR)"
2720,101,0,"(field=Album,query=Goodbye & Hello,fuzzy=1,searchType=SR)"
2692,141,0,"(field=Album,query=回蔚,fuzzy=1,searchType=SR)"
2726,63,0,"(field=Album,query=所以变快乐,fuzzy=1,searchType=SR)"
2730,68,0,"(field=Album,query=我们的生活充满阳光,fuzzy=1,searchType=SR)"
2716,76,0,"(field=Album,query=大地飞歌,fuzzy=1,searchType=SR)"
2710,56,0,"(field=Album,query=我在草原等你来,fuzzy=1,searchType=SR)"
2724,54,0,"(field=Album,query=中国美,fuzzy=1,searchType=SR)"
2732,63,0,"(field=Album,query=所以变快乐,fuzzy=1,searchType=SR)"
2740,46,0,"(field=Album,query=曹之在我,fuzzy=1,searchType=SR)"
2704,58,0,"(field=Album,query=大声唱,fuzzy=1,searchType=SR)"
2708,75,0,"(field=Album,query=换季,fuzzy=1,searchType=SR)"
2707,57,0,"(field=Album,query=大雨,fuzzy=1,searchType=SR)"
2705,90,0,"(field=Album,query=[即刻出发]?北京演唱会 Live CD,fuzzy=1,searchType=SR)"
2718,51,0,"(field=Album,query=半熟宣言,fuzzy=1,searchType=SR)"
2774,86,0,"(field=Album,query=奇迹创世纪精选,fuzzy=1,searchType=SR)"
2698,204,0,"(field=Album,query=i Penny,fuzzy=1,searchType=SR)"
2778,74,0,"(field=Album,query=单身情歌 超炫精选,fuzzy=1,searchType=SR)"
2703,52,0,"(field=Album,query=胡 爱夏,fuzzy=1,searchType=SR)"
2714,77,0,"(field=Album,query=永远的朋友典藏系列,fuzzy=1,searchType=SR)"
2706,48,0,"(field=Album,query=宠爱,fuzzy=1,searchType=SR)"
2708,46,0,"(field=Album,query=对着唱,fuzzy=1,searchType=SR)"
2719,102,0,"(field=Album,query=Love And The City,fuzzy=1,searchType=SR)"
2720,70,0,"(field=Album,query=她说 概念自选辑,fuzzy=1,searchType=SR)"
2736,59,0,"(field=Album,query=不如吃茶去,fuzzy=1,searchType=SR)"
2691,28,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2694,100,0,"(field=Album,query=Stranger Under My Skin,fuzzy=1,searchType=SR)"
2723,70,0,"(field=Album,query=Lpcd45之等你等到我心痛,fuzzy=1,searchType=SR)"
2706,46,0,"(field=Album,query=爱人别走,fuzzy=1,searchType=SR)"
2711,95,0,"(field=Album,query=志航群星传唱系列-情歌对唱,fuzzy=1,searchType=SR)"
2721,95,0,"(field=Album,query=十光年,fuzzy=1,searchType=SR)"
2726,49,0,"(field=Album,query=背叛情歌,fuzzy=1,searchType=SR)"
2692,67,0,"(field=Album,query=最接近天堂的地方,fuzzy=1,searchType=SR)"
2704,51,0,"(field=Album,query=点亮未来,fuzzy=1,searchType=SR)"
2699,28,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2730,50,0,"(field=Album,query=星座圣典,fuzzy=1,searchType=SR)"
2730,68,0,"(field=Album,query=天下无双,fuzzy=1,searchType=SR)"
2693,49,0,"(field=Album,query=Leave (离开),fuzzy=1,searchType=SR)"
2705,52,0,"(field=Album,query=舞动人生,fuzzy=1,searchType=SR)"
2709,27,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
