,strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms),,,,<1.2s,1.2s-2s,2s-3s,>3s
flight,/data/AIUI/sr/600/0350-03.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
flight,/data/AIUI/sr/600/0351-01.pcm,1.49932E+12,1360,1.49932E+12,1670,,,,FALSE,TRUE,FALSE,FALSE
flight,/data/AIUI/sr/600/0351-02.pcm,1.49932E+12,2860,1.49932E+12,2909,,,,FALSE,FALSE,TRUE,FALSE
flight,/data/AIUI/sr/600/0351-03.pcm,1.49932E+12,1400,1.49932E+12,1413,,,,FALSE,TRUE,FALSE,FALSE
flight,/data/AIUI/sr/600/0351-04.pcm,1.49932E+12,800,1.49932E+12,1886,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0174-02.pcm,1.49932E+12,2390,1.49932E+12,1726,,1798,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0174-03.pcm,1.49932E+12,2150,1.49932E+12,2007,,,,FALSE,FALSE,TRUE,FALSE
mapU,/data/AIUI/sr/600/0174-04.pcm,1.49932E+12,1420,1.49932E+12,1475,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0208-04.pcm,1.49932E+12,2990,1.49932E+12,1403,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0249-03.pcm,1.49932E+12,3630,1.49932E+12,2059,,,,FALSE,FALSE,TRUE,FALSE
mapU,/data/AIUI/sr/600/0254-02.pcm,1.49932E+12,2230,1.49932E+12,1761,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0265-04.pcm,1.49932E+12,5420,1.49932E+12,1815,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0370-04.pcm,1.49932E+12,1450,1.49932E+12,1376,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0390-01.pcm,1.49932E+12,2980,1.49932E+12,2175,,,,FALSE,FALSE,TRUE,FALSE
mapU,/data/AIUI/sr/600/0390-02.pcm,1.49932E+12,1220,1.49932E+12,1649,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0390-03.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0390-04.pcm,1.49932E+12,1240,1.49932E+12,1606,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0391-01.pcm,1.49932E+12,1960,1.49932E+12,1903,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0391-02.pcm,1.49932E+12,2330,1.49932E+12,2015,,,,FALSE,FALSE,TRUE,FALSE
mapU,/data/AIUI/sr/600/0391-03.pcm,1.49932E+12,2860,1.49932E+12,2003,,,,FALSE,FALSE,TRUE,FALSE
mapU,/data/AIUI/sr/600/0391-04.pcm,1.49932E+12,1990,1.49932E+12,1720,,,,FALSE,TRUE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0391-05.pcm,1.49932E+12,1400,1.49932E+12,1566,,,,FALSE,TRUE,FALSE,FALSE
