sr_time:282, nlu_time:143, sum_time:430
sr_time:803, nlu_time:73, sum_time:882
sr_time:186, nlu_time:148, sum_time:340
sr_time:291, nlu_time:171, sum_time:468
sr_time:648, nlu_time:61, sum_time:717
sr_time:425, nlu_time:82, sum_time:517
sr_time:670, nlu_time:102, sum_time:778
sr_time:564, nlu_time:78, sum_time:648
sr_time:694, nlu_time:96, sum_time:796
sr_time:783, nlu_time:70, sum_time:860
sr_time:568, nlu_time:96, sum_time:671
sr_time:337, nlu_time:74, sum_time:416
sr_time:833, nlu_time:122, sum_time:962
sr_time:651, nlu_time:73, sum_time:730
sr_time:904, nlu_time:140, sum_time:1052
sr_time:776, nlu_time:71, sum_time:852
sr_time:315, nlu_time:88, sum_time:410
sr_time:632, nlu_time:72, sum_time:710
sr_time:564, nlu_time:99, sum_time:669
sr_time:584, nlu_time:92, sum_time:682
sr_time:607, nlu_time:80, sum_time:693
sr_time:730, nlu_time:62, sum_time:797
sr_time:681, nlu_time:106, sum_time:796
sr_time:748, nlu_time:95, sum_time:850
sr_time:940, nlu_time:99, sum_time:1045
sr_time:380, nlu_time:103, sum_time:489
sr_time:217, nlu_time:80, sum_time:304
sr_time:218, nlu_time:83, sum_time:307
sr_time:191, nlu_time:97, sum_time:297
sr_time:241, nlu_time:55, sum_time:302
sr_time:174, nlu_time:103, sum_time:283
sr_time:294, nlu_time:129, sum_time:429
sr_time:293, nlu_time:103, sum_time:402
sr_time:376, nlu_time:123, sum_time:507
sr_time:871, nlu_time:113, sum_time:990
sr_time:897, nlu_time:154, sum_time:1057
sr_time:845, nlu_time:129, sum_time:981
sr_time:364, nlu_time:140, sum_time:512
sr_time:186, nlu_time:103, sum_time:295
sr_time:196, nlu_time:85, sum_time:287
sr_time:366, nlu_time:76, sum_time:447
sr_time:478, nlu_time:70, sum_time:554
sr_time:531, nlu_time:62, sum_time:600
sr_time:198, nlu_time:91, sum_time:295
sr_time:404, nlu_time:72, sum_time:482
sr_time:491, nlu_time:153, sum_time:651
sr_time:778, nlu_time:150, sum_time:936
sr_time:686, nlu_time:134, sum_time:827
sr_time:516, nlu_time:161, sum_time:683
sr_time:817, nlu_time:123, sum_time:948
sr_time:434, nlu_time:180, sum_time:620
sr_time:258, nlu_time:138, sum_time:402
sr_time:158, nlu_time:161, sum_time:325
sr_time:201, nlu_time:125, sum_time:333
sr_time:222, nlu_time:114, sum_time:342
sr_time:164, nlu_time:109, sum_time:278
sr_time:200, nlu_time:69, sum_time:274
sr_time:210, nlu_time:191, sum_time:408
sr_time:265, nlu_time:130, sum_time:401
sr_time:260, nlu_time:128, sum_time:396
sr_time:473, nlu_time:173, sum_time:653
sr_time:475, nlu_time:119, sum_time:601
sr_time:245, nlu_time:154, sum_time:406
sr_time:339, nlu_time:140, sum_time:486
sr_time:245, nlu_time:140, sum_time:392
sr_time:441, nlu_time:123, sum_time:571
sr_time:228, nlu_time:90, sum_time:324
sr_time:176, nlu_time:70, sum_time:252
sr_time:273, nlu_time:76, sum_time:355
sr_time:215, nlu_time:154, sum_time:376
sr_time:242, nlu_time:79, sum_time:327
sr_time:387, nlu_time:73, sum_time:465
sr_time:187, nlu_time:67, sum_time:260
sr_time:151, nlu_time:82, sum_time:239
sr_time:439, nlu_time:78, sum_time:524
sr_time:316, nlu_time:80, sum_time:404
sr_time:280, nlu_time:66, sum_time:352
sr_time:170, nlu_time:65, sum_time:241
