native_heap_alloc,native_pss,dalvik_heap_alloc,dalvik_pss
6984,32,3944,7721
6985,32,4101,7721
6986,32,4234,7721
6987,32,4362,7721
6987,32,4496,7721
6983,32,3591,7721
6984,32,3721,7721
6985,32,3879,7721
6986,32,4014,7721
6986,32,4143,7721
6987,32,4276,7721
6988,32,4410,7721
6984,32,3517,7721
6985,32,3676,7721
6986,32,3810,7721
6987,32,3941,7721
6987,32,4073,7721
6988,32,4206,7721
6989,32,4341,7721
6990,32,4473,7721
6986,32,3608,7725
6987,32,3744,7725
6987,32,3871,7725
6988,32,4006,7725
6989,32,4138,7725
6990,32,4274,7725
6991,32,4428,7725
6992,32,3518,7725
6987,32,3650,7725
6988,32,3782,7725
6989,32,3915,7725
6989,32,4050,7725
6990,32,4207,7725
6991,32,4337,7725
6992,32,4472,7725
6988,32,3578,7725
6989,32,3711,7725
6989,32,3845,7725
6990,32,3977,7725
6991,32,4136,7725
6992,32,4272,7725
6993,32,4399,7725
6994,32,4535,7725
6990,32,3632,7725
6990,32,3768,7725
6991,32,3922,7725
6992,32,4058,7725
6993,32,4188,7725
6994,32,4322,7725
6995,32,4455,7725
6990,32,3552,7725
6991,32,3712,7725
6992,32,3847,7725
6993,32,3978,7725
6994,32,4107,7725
6995,32,4241,7725
6995,32,4375,7725
6996,32,4532,7725
6992,32,3631,7725
6993,32,3766,7725
6994,32,3895,7725
6994,32,4030,7725
6995,32,4163,7725
6996,32,4295,7725
6997,32,4453,7725
6993,32,3549,7725
6994,32,3680,7725
6994,32,3812,7725
6995,32,3947,7725
6996,32,4079,7725
6997,32,4237,7725
6998,32,4370,7725
6999,32,4503,7725
6994,32,3589,7725
6995,32,3721,7725
6996,32,3857,7725
6997,32,4012,7725
6998,32,4145,7726
6998,32,4277,7726
6999,32,4408,7726
7000,32,3517,7726
6996,32,3653,7726
6997,32,3784,7726
6998,32,3943,7726
6998,32,4076,7726
6999,32,4206,7726
7000,32,4339,7726
7001,32,4473,7726
6997,32,3573,7726
6998,32,3730,7726
6998,32,3863,7726
6999,32,3995,7726
7000,32,4123,7726
