loadRes_time,srh_time,srh ret,text
104,13,0,"(field=Album,query=娃娃金典 - 金智娟经典重生辑,fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=美丽境界,fuzzy=1,searchType=SR)"
106,9,0,"(field=Album,query=我们的生活充满阳光,fuzzy=1,searchType=SR)"
110,11,0,"(field=Album,query=首选萧亚轩.美丽的插曲,fuzzy=1,searchType=SR)"
106,12,0,"(field=Album,query=爱过,fuzzy=1,searchType=SR)"
105,12,0,"(field=Album,query=长相依精选辑,fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=我好想,fuzzy=1,searchType=SR)"
115,13,0,"(field=Album,query=不解释亲吻,fuzzy=1,searchType=SR)"
107,10,0,"(field=Album,query=美丽的日子 新歌+精选,fuzzy=1,searchType=SR)"
105,12,0,"(field=Album,query=爱的大游行Live全记录,fuzzy=1,searchType=SR)"
105,10,0,"(field=Album,query=爱你的我今天长这样,fuzzy=1,searchType=SR)"
109,7,0,"(field=Album,query=爱你的宿命,fuzzy=1,searchType=SR)"
106,7,0,"(field=Album,query=爱你却要说分手,fuzzy=1,searchType=SR)"
105,19,0,"(field=Album,query=爱你伍佰年 伍佰 And China Blue 世纪典藏原音精选40首,fuzzy=1,searchType=SR)"
106,6,0,"(field=Album,query=美人吟,fuzzy=1,searchType=SR)"
110,7,0,"(field=Album,query=入戏太深,fuzzy=1,searchType=SR)"
105,5,0,"(field=Album,query=包容,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=城堡,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=L to V秘密,fuzzy=1,searchType=SR)"
109,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
107,15,0,"(field=Album,query=70.8,fuzzy=1,searchType=SR)"
105,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
104,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
119,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
106,8,0,"(field=Album,query=咆哮2002,fuzzy=1,searchType=SR)"
105,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=爱无反顾,fuzzy=1,searchType=SR)"
111,7,0,"(field=Album,query=胡 爱夏,fuzzy=1,searchType=SR)"
105,5,0,"(field=Album,query=爱相随,fuzzy=1,searchType=SR)"
107,11,0,"(field=Album,query=活出生命Ii演唱会,fuzzy=1,searchType=SR)"
105,21,0,"(field=Album,query=许茹芸1995-2000年光华真纪录-单身日记15首新,fuzzy=1,searchType=SR)"
119,8,0,"(field=Album,query=Best Show 劲舞天王版,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=王菲 89-97 32精选,fuzzy=1,searchType=SR)"
106,8,0,"(field=Album,query=他&他 [好男真情歌],fuzzy=1,searchType=SR)"
108,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
111,15,0,"(field=Album,query=抢先热恋杨丞琳为爱启丞抢先听版,fuzzy=1,searchType=SR)"
105,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
105,14,0,"(field=Album,query=中国好声音第二季 那英组四进一,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=爸爸去哪儿 电视原声带,fuzzy=1,searchType=SR)"
114,7,0,"(field=Album,query=白天不懂夜的黑,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=那英全经典,fuzzy=1,searchType=SR)"
108,37,0,"(field=Album,query=Super Star,fuzzy=1,searchType=SR)"
104,11,0,"(field=Album,query=一呼天下音演唱会,fuzzy=1,searchType=SR)"
109,9,0,"(field=Album,query=寂寞在唱歌,fuzzy=1,searchType=SR)"
105,39,0,"(field=Album,query=Chyi Chin,fuzzy=1,searchType=SR)"
106,35,0,"(field=Album,query=Btb Teresa Teng Best 20,fuzzy=1,searchType=SR)"
116,11,0,"(field=Album,query=台语点歌集7,fuzzy=1,searchType=SR)"
105,5,0,"(field=Album,query=勇敢的心,fuzzy=1,searchType=SR)"
105,9,0,"(field=Album,query=北京的冬天,fuzzy=1,searchType=SR)"
105,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
110,12,0,"(field=Album,query=100天,fuzzy=1,searchType=SR)"
106,6,0,"(field=Album,query=背叛情歌,fuzzy=1,searchType=SR)"
108,18,0,"(field=Album,query=2014年中央电视台春节联欢晚会,fuzzy=1,searchType=SR)"
105,10,0,"(field=Album,query=大年三十,fuzzy=1,searchType=SR)"
119,9,0,"(field=Album,query=大年三十,fuzzy=1,searchType=SR)"
105,13,0,"(field=Album,query=夏夜晚风 演唱会精选实录,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=空气,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=天下无贼,fuzzy=1,searchType=SR)"
111,5,0,"(field=Album,query=笨小孩,fuzzy=1,searchType=SR)"
105,16,0,"(field=Album,query=最新汽车升级版1 - 车载低音炮,fuzzy=1,searchType=SR)"
105,42,0,"(field=Album,query=A Little Love,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=别让我一个人醉,fuzzy=1,searchType=SR)"
111,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
106,9,0,"(field=Album,query=情调私语2,fuzzy=1,searchType=SR)"
105,5,0,"(field=Album,query=冰封,fuzzy=1,searchType=SR)"
108,9,0,"(field=Album,query=我们的生活充满阳光,fuzzy=1,searchType=SR)"
110,11,0,"(field=Album,query=大地飞歌,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=柔情主义,fuzzy=1,searchType=SR)"
106,9,0,"(field=Album,query=十八般武艺,fuzzy=1,searchType=SR)"
106,7,0,"(field=Album,query=最动听的...陈百强,fuzzy=1,searchType=SR)"
113,17,0,"(field=Album,query=Xposed,fuzzy=1,searchType=SR)"
104,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
106,5,0,"(field=Album,query=征服,fuzzy=1,searchType=SR)"
104,14,0,"(field=Album,query=8：19AM,fuzzy=1,searchType=SR)"
109,13,0,"(field=Album,query=不解释亲吻,fuzzy=1,searchType=SR)"
105,98,0,"(field=Album,query=黏黏2,fuzzy=1,searchType=SR)"
106,9,0,"(field=Album,query=不能说出口的诺言,fuzzy=1,searchType=SR)"
119,7,0,"(field=Album,query=翊往情深,fuzzy=1,searchType=SR)"
106,10,0,"(field=Album,query=因为爱你,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=不忘初心,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=张信哲Jeff情歌精选,fuzzy=1,searchType=SR)"
111,14,0,"(field=Album,query=[即刻出发]?北京演唱会 Live CD,fuzzy=1,searchType=SR)"
105,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
106,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=擦肩而过,fuzzy=1,searchType=SR)"
119,10,0,"(field=Album,query=因为爱你,fuzzy=1,searchType=SR)"
106,6,0,"(field=Album,query=不再见,fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=独家记忆,fuzzy=1,searchType=SR)"
107,12,0,"(field=Album,query=微笑Pasta电视原声带,fuzzy=1,searchType=SR)"
108,16,0,"(field=Album,query=同名专辑,fuzzy=1,searchType=SR)"
105,18,0,"(field=Album,query=中国好声音第二季 第2期,fuzzy=1,searchType=SR)"
106,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=草原的风,fuzzy=1,searchType=SR)"
112,9,0,"(field=Album,query=中国之声,fuzzy=1,searchType=SR)"
107,6,0,"(field=Album,query=风华再现,fuzzy=1,searchType=SR)"
105,10,0,"(field=Album,query=最好的时代,fuzzy=1,searchType=SR)"
105,10,0,"(field=Album,query=2013蛇年春晚,fuzzy=1,searchType=SR)"
108,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=精调细选,fuzzy=1,searchType=SR)"
105,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
106,9,0,"(field=Album,query=张国荣钢琴精选集,fuzzy=1,searchType=SR)"
118,7,0,"(field=Album,query=趁你还年轻,fuzzy=1,searchType=SR)"
107,17,0,"(field=Album,query=年华,fuzzy=1,searchType=SR)"
105,9,0,"(field=Album,query=远方的寂静,fuzzy=1,searchType=SR)"
105,13,0,"(field=Album,query=志航群星传唱系列-情歌对唱,fuzzy=1,searchType=SR)"
108,39,0,"(field=Album,query=Transfer,fuzzy=1,searchType=SR)"
106,4,0,"(field=Album,query=出塞曲,fuzzy=1,searchType=SR)"
107,7,0,"(field=Album,query=初.爱,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=菲旧梦,fuzzy=1,searchType=SR)"
112,9,0,"(field=Album,query=远方的寂静,fuzzy=1,searchType=SR)"
105,9,0,"(field=Album,query=一个小微笑,fuzzy=1,searchType=SR)"
105,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
105,45,0,"(field=Album,query=Never - Ending Song,fuzzy=1,searchType=SR)"
106,11,0,"(field=Album,query=2009慢摇中文冠军舞曲,fuzzy=1,searchType=SR)"
105,42,0,"(field=Album,query=Super Sunshine,fuzzy=1,searchType=SR)"
105,16,0,"(field=Album,query=霹雳英雄音乐精选四十一-刀剑春秋II,fuzzy=1,searchType=SR)"
118,15,0,"(field=Album,query=中国好声音第1期,fuzzy=1,searchType=SR)"
105,20,0,"(field=Album,query=呼吸,fuzzy=1,searchType=SR)"
107,9,0,"(field=Album,query=爱的进行式,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=刘欢,fuzzy=1,searchType=SR)"
109,8,0,"(field=Album,query=远方的寂静,fuzzy=1,searchType=SR)"
106,10,0,"(field=Album,query=神的孩子都在跳舞(限量版),fuzzy=1,searchType=SR)"
105,9,0,"(field=Album,query=听得到的时间,fuzzy=1,searchType=SR)"
105,13,0,"(field=Album,query=冰冰,fuzzy=1,searchType=SR)"
114,15,0,"(field=Album,query=Goodbye & Hello,fuzzy=1,searchType=SR)"
105,27,0,"(field=Album,query=回蔚,fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=所以变快乐,fuzzy=1,searchType=SR)"
105,10,0,"(field=Album,query=我们的生活充满阳光,fuzzy=1,searchType=SR)"
110,12,0,"(field=Album,query=大地飞歌,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=我在草原等你来,fuzzy=1,searchType=SR)"
107,7,0,"(field=Album,query=中国美,fuzzy=1,searchType=SR)"
105,9,0,"(field=Album,query=所以变快乐,fuzzy=1,searchType=SR)"
113,6,0,"(field=Album,query=曹之在我,fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=大声唱,fuzzy=1,searchType=SR)"
105,12,0,"(field=Album,query=换季,fuzzy=1,searchType=SR)"
107,8,0,"(field=Album,query=大雨,fuzzy=1,searchType=SR)"
111,14,0,"(field=Album,query=[即刻出发]?北京演唱会 Live CD,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=半熟宣言,fuzzy=1,searchType=SR)"
105,13,0,"(field=Album,query=奇迹创世纪精选,fuzzy=1,searchType=SR)"
105,38,0,"(field=Album,query=i Penny,fuzzy=1,searchType=SR)"
112,11,0,"(field=Album,query=单身情歌 超炫精选,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=胡 爱夏,fuzzy=1,searchType=SR)"
104,11,0,"(field=Album,query=永远的朋友典藏系列,fuzzy=1,searchType=SR)"
110,6,0,"(field=Album,query=宠爱,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=对着唱,fuzzy=1,searchType=SR)"
106,17,0,"(field=Album,query=Love And The City,fuzzy=1,searchType=SR)"
105,10,0,"(field=Album,query=她说 概念自选辑,fuzzy=1,searchType=SR)"
109,11,0,"(field=Album,query=不如吃茶去,fuzzy=1,searchType=SR)"
105,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
105,15,0,"(field=Album,query=Stranger Under My Skin,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=Lpcd45之等你等到我心痛,fuzzy=1,searchType=SR)"
111,6,0,"(field=Album,query=爱人别走,fuzzy=1,searchType=SR)"
105,13,0,"(field=Album,query=志航群星传唱系列-情歌对唱,fuzzy=1,searchType=SR)"
105,14,0,"(field=Album,query=十光年,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=背叛情歌,fuzzy=1,searchType=SR)"
114,12,0,"(field=Album,query=最接近天堂的地方,fuzzy=1,searchType=SR)"
107,7,0,"(field=Album,query=点亮未来,fuzzy=1,searchType=SR)"
105,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
106,6,0,"(field=Album,query=星座圣典,fuzzy=1,searchType=SR)"
110,9,0,"(field=Album,query=天下无双,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=Leave (离开),fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=舞动人生,fuzzy=1,searchType=SR)"
107,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
109,4,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
110,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
107,8,0,"(field=Album,query=我不是伟人,fuzzy=1,searchType=SR)"
